id,user,time_of_completion,mission,configuration,rewarded_items
1,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:20:57.687+00,1,,
2,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:21:10.477+00,2,,
3,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:21:15.145+00,3,,"[""2""]"
4,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:21:26.323+00,4,,"[""23""]"
5,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:21:35.721+00,5,,"[""13""]"
6,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:22:53.873+00,6,,"[""13"",""13"",""15""]"
7,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:22:53.916+00,6,,"[""13"",""13"",""15""]"
8,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:22:56.149+00,7,,"[""13""]"
9,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 15:23:10.076+00,8,,"[""13"",""13"",""13"",""16""]"
10,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 16:14:49.184+00,6,,"[""13"",""13"",""15""]"
11,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 16:42:41.108+00,6,,"[""13"",""13"",""15""]"
12,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 16:50:12.42+00,6,,"[""13"",""13"",""15""]"
13,d4eaa880-47a2-4481-a432-dd2ce6bcfc25,2024-06-10 16:50:12.453+00,6,,"[""13"",""13"",""15""]"